  Batch 1/28 | Loss: 0.0308 | Acc: 1.0000 | F1: 0.5000
  Batch 2/28 | Loss: 0.0797 | Acc: 0.9688 | F1: 0.4921
  Batch 3/28 | Loss: 0.0234 | Acc: 1.0000 | F1: 0.5000
  Batch 4/28 | Loss: 0.0882 | Acc: 0.9688 | F1: 0.4921
  Batch 5/28 | Loss: 0.0100 | Acc: 1.0000 | F1: 0.5000
  Batch 6/28 | Loss: 0.1201 | Acc: 0.9375 | F1: 0.4839
  Batch 7/28 | Loss: 0.0729 | Acc: 0.9688 | F1: 0.4921
  Batch 8/28 | Loss: 0.2818 | Acc: 0.9062 | F1: 0.4754
  Batch 9/28 | Loss: 0.1191 | Acc: 0.9688 | F1: 0.4921
  Batch 10/28 | Loss: 0.4522 | Acc: 0.9375 | F1: 0.4839
  Batch 11/28 | Loss: 0.2683 | Acc: 0.9062 | F1: 0.4754
  Batch 12/28 | Loss: 0.0095 | Acc: 1.0000 | F1: 0.5000
  Batch 13/28 | Loss: 0.0095 | Acc: 1.0000 | F1: 0.5000
  Batch 14/28 | Loss: 0.0072 | Acc: 1.0000 | F1: 0.5000
  Batch 15/28 | Loss: 0.6150 | Acc: 0.8750 | F1: 0.4667
  Batch 16/28 | Loss: 0.0054 | Acc: 1.0000 | F1: 0.5000
  Batch 17/28 | Loss: 0.0316 | Acc: 1.0000 | F1: 0.5000
  Batch 18/28 | Loss: 0.0454 | Acc: 0.9688 | F1: 0.4921
  Batch 19/28 | Loss: 0.3377 | Acc: 0.9375 | F1: 0.4839
  Batch 20/28 | Loss: 0.0246 | Acc: 1.0000 | F1: 0.5000
  Batch 21/28 | Loss: 0.1711 | Acc: 0.9688 | F1: 0.4921
  Batch 22/28 | Loss: 0.0009 | Acc: 1.0000 | F1: 0.5000
  Batch 23/28 | Loss: 0.0069 | Acc: 1.0000 | F1: 0.5000
  Batch 24/28 | Loss: 0.2876 | Acc: 0.9688 | F1: 0.8915
  Batch 25/28 | Loss: 2.2280 | Acc: 0.6250 | F1: 0.3846
  Batch 26/28 | Loss: 0.5183 | Acc: 0.8125 | F1: 0.4483
  Batch 27/28 | Loss: 0.7215 | Acc: 0.7812 | F1: 0.4386
  Batch 173/28 | Loss: 6.9289 | Acc: 0.2000 | F1: 0.1667
